date,temperature_max,precipitation
2022-01-01,25.8,14.9
2022-01-02,26.0,9.4
2022-01-03,25.2,0.2
2022-01-04,25.4,0.0
2022-01-05,26.9,0.0
2022-01-06,24.4,10.7
2022-01-07,21.4,3.8
2022-01-08,25.0,6.4
2022-01-09,24.1,1.0
2022-01-10,22.4,1.8
2022-01-11,22.8,3.7
2022-01-12,22.8,2.2
2022-01-13,24.5,10.0
2022-01-14,23.5,0.5
2022-01-15,24.9,0.0
2022-01-16,25.2,0.2
2022-01-17,24.3,1.9
2022-01-18,23.2,1.4
2022-01-19,26.0,0.2
2022-01-20,26.6,0.0
2022-01-21,25.9,0.1
2022-01-22,24.6,4.5
2022-01-23,25.3,0.3
2022-01-24,25.1,5.5
2022-01-25,24.0,8.7
2022-01-26,25.3,0.3
2022-01-27,24.5,2.6
2022-01-28,25.5,0.1
2022-01-29,25.9,0.0
2022-01-30,25.1,0.0
2022-01-31,25.8,0.0
2022-02-01,26.5,0.0
2022-02-02,26.7,0.0
2022-02-03,26.8,0.6
2022-02-04,24.3,7.3
2022-02-05,25.0,11.0
2022-02-06,24.8,11.5
2022-02-07,24.7,9.6
2022-02-08,24.5,11.0
2022-02-09,24.1,12.4
2022-02-10,25.1,2.8
2022-02-11,26.1,0.0
2022-02-12,25.9,0.1
2022-02-13,24.7,8.6
2022-02-14,23.6,6.9
2022-02-15,24.6,1.5
2022-02-16,25.1,4.1
2022-02-17,26.6,13.6
2022-02-18,25.1,15.3
2022-02-19,24.2,9.9
2022-02-20,24.1,2.3
2022-02-21,25.4,2.1
2022-02-22,25.7,1.6
2022-02-23,25.5,5.8
2022-02-24,25.7,4.7
2022-02-25,24.6,3.8
2022-02-26,23.5,18.0
2022-02-27,24.1,24.8
2022-02-28,21.7,2.9
2022-03-01,24.6,3.4
2022-03-02,23.2,7.6
2022-03-03,25.6,7.9
2022-03-04,24.3,19.4
2022-03-05,23.1,21.6
2022-03-06,23.0,15.2
2022-03-07,23.7,1.4
2022-03-08,25.0,2.0
2022-03-09,24.6,1.4
2022-03-10,25.5,5.8
2022-03-11,24.8,0.7
2022-03-12,25.4,1.8
2022-03-13,24.7,6.0
2022-03-14,25.9,5.5
2022-03-15,25.8,7.4
2022-03-16,24.8,5.4
2022-03-17,27.3,3.9
2022-03-18,25.1,1.7
2022-03-19,24.9,6.1
2022-03-20,26.6,5.1
2022-03-21,27.2,4.0
2022-03-22,25.0,7.7
2022-03-23,25.6,4.2
2022-03-24,27.3,6.2
2022-03-25,24.8,3.4
2022-03-26,25.6,10.4
2022-03-27,25.5,11.8
2022-03-28,25.1,0.5
2022-03-29,25.0,13.0
2022-03-30,26.9,12.0
2022-03-31,24.5,20.4
2022-04-01,26.0,10.6
2022-04-02,27.1,0.7
2022-04-03,26.4,14.1
2022-04-04,26.3,11.7
2022-04-05,26.8,2.2
2022-04-06,28.2,6.1
2022-04-07,23.6,11.0
2022-04-08,24.8,8.0
2022-04-09,26.2,10.4
2022-04-10,25.6,2.3
